Kurvenpunkte
.1688500E+03;.1082718E-05
.1700343E+03;.1416631E-05
.1712187E+03;.1845813E-05
.1724030E+03;.2395230E-05
.1735873E+03;.3095799E-05
.1747717E+03;.3985670E-05
.1759560E+03;.5111739E-05
.1771403E+03;.6531446E-05
.1783247E+03;.8314904E-05
.1795090E+03;.1054740E-04
.1806933E+03;.1333231E-04
.1818777E+03;.1679458E-04
.1830620E+03;.2108464E-04
.1842463E+03;.2638316E-04
.1854307E+03;.3290631E-04
.1866150E+03;.4091209E-04
.1877993E+03;.5070741E-04
.1889837E+03;.6265636E-04
.1901680E+03;.7718962E-04
.1913523E+03;.9481515E-04
.1925367E+03;.1161305E-03
.1937210E+03;.1418368E-03
.1949053E+03;.1727543E-03
.1960897E+03;.2098403E-03
.1972740E+03;.2542092E-03
.1984583E+03;.3071553E-03
.1996427E+03;.3701776E-03
.2008270E+03;.4450085E-03
.2020113E+03;.5336456E-03
.2031957E+03;.6383865E-03
.2043800E+03;.7618681E-03
.2055643E+03;.9071102E-03
.2067487E+03;.1077564E-02
.2079330E+03;.1277163E-02
.2091173E+03;.1510385E-02
.2103017E+03;.1782314E-02
.2114860E+03;.2098711E-02
.2126703E+03;.2466092E-02
.2138547E+03;.2891813E-02
.2150390E+03;.3384161E-02
.2162233E+03;.3952454E-02
.2174077E+03;.4607155E-02
.2185920E+03;.5359982E-02
.2197763E+03;.6224046E-02
.2209607E+03;.7213985E-02
.2221450E+03;.8346111E-02
.2233293E+03;.9638579E-02
.2245137E+03;.1111155E-01
.2256980E+03;.1278740E-01
.2268823E+03;.1469090E-01
.2280667E+03;.1684941E-01
.2292510E+03;.1929317E-01
.2304353E+03;.2205550E-01
.2316197E+03;.2517305E-01
.2328040E+03;.2868612E-01
.2339883E+03;.3263891E-01
.2351727E+03;.3707990E-01
.2363570E+03;.4206208E-01
.2375413E+03;.4764339E-01
.2387257E+03;.5388706E-01
.2399100E+03;.6086199E-01
.2410943E+03;.6864318E-01
.2422787E+03;.7731213E-01
.2434630E+03;.8695737E-01
.2446473E+03;.9767484E-01
.2458317E+03;.1095685E+00
.2470160E+03;.1227507E+00
.2482003E+03;.1373429E+00
.2493847E+03;.1534762E+00
.2505690E+03;.1712919E+00
.2517533E+03;.1909419E+00
.2529377E+03;.2125900E+00
.2541220E+03;.2364117E+00
.2553064E+03;.2625957E+00
.2564907E+03;.2913440E+00
.2576750E+03;.3228732E+00
.2588593E+03;.3574148E+00
.2600437E+03;.3952162E+00
.2612280E+03;.4365416E+00
.2624124E+03;.4816727E+00
.2635967E+03;.5309098E+00
.2647810E+03;.5845725E+00
